epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,708.106,0.86559,0.62197,1.15614,0.99067,0.98854,0.99054,0.87469,0.5085,0.2991,0.9209,0.0007724,0.0007724,0.0007724
126,713.64,0.84936,0.61452,1.14748,0.99369,0.98854,0.99114,0.88841,0.49593,0.2935,0.91246,0.0007625,0.0007625,0.0007625
127,719.167,0.84472,0.61282,1.14679,0.99314,0.98854,0.99232,0.85323,0.60174,0.31004,0.93243,0.0007526,0.0007526,0.0007526
128,724.711,0.84953,0.62441,1.14222,0.99384,0.98854,0.99331,0.87559,0.5272,0.2934,0.91607,0.0007427,0.0007427,0.0007427
129,730.232,0.83743,0.61896,1.14151,0.99333,0.98854,0.99337,0.88735,0.51977,0.29515,0.91118,0.0007328,0.0007328,0.0007328
130,735.768,0.82807,0.60841,1.14187,0.99371,0.98854,0.99383,0.89255,0.48795,0.28338,0.90377,0.0007229,0.0007229,0.0007229
131,741.304,0.83896,0.62194,1.14827,0.99368,0.98854,0.99384,0.89391,0.48284,0.27868,0.89833,0.000713,0.000713,0.000713
132,746.841,0.80759,0.60115,1.12795,0.9937,0.98854,0.99241,0.88969,0.48826,0.28543,0.91019,0.0007031,0.0007031,0.0007031
133,752.383,0.81738,0.59405,1.1329,0.99173,0.98854,0.99259,0.89208,0.4914,0.28441,0.90659,0.0006932,0.0006932,0.0006932
134,757.98,0.82181,0.59026,1.13257,0.99339,0.98854,0.99069,0.89519,0.48792,0.28482,0.90986,0.0006833,0.0006833,0.0006833
135,763.536,0.81919,0.60723,1.13512,0.9938,0.98854,0.99284,0.82095,0.68272,0.32123,0.97349,0.0006734,0.0006734,0.0006734
136,769.147,0.82314,0.59588,1.13107,0.99375,0.98854,0.99363,0.89471,0.48826,0.27877,0.90329,0.0006635,0.0006635,0.0006635
137,774.699,0.82048,0.59257,1.13212,0.99351,0.98854,0.99242,0.89639,0.48699,0.28761,0.90879,0.0006536,0.0006536,0.0006536
