epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
82,637.466,0.63038,0.9846,0.00115,0.17625,0.01223,4.53148,0.98996,0.98565,0.99447,0.69909,0.56616,0.5742,0.46811,0.17122,1.1936,3.81027,0.00225,0.29596,0.02017,0,0.0011981,0.0011981,0.0011981
83,645.275,0.54674,0.88122,0.00119,0.16234,0.01038,4.1616,0.99333,0.99301,0.9949,0.8061,0.5761,0.58333,0.49986,0.16989,0.84669,3.85509,0.00196,0.23607,0.01343,0,0.0011882,0.0011882,0.0011882
84,653.05,0.57953,0.84554,0.00106,0.15572,0.011,4.0508,1,0.98852,0.99493,0.81539,0.51554,0.54,0.41108,0.17293,0.82836,3.97864,0.0017,0.221,0.01322,0,0.0011783,0.0011783,0.0011783
85,660.718,0.54984,0.82575,0.00106,0.15515,0.01057,3.91099,0.98822,0.99333,0.99466,0.7956,0.64106,0.65667,0.59174,0.18587,0.85457,3.6484,0.00155,0.23233,0.0137,0,0.0011684,0.0011684,0.0011684
86,668.444,0.6211,0.79603,0.001,0.17213,0.01185,3.86573,0.9896,1,0.99463,0.76399,0.57466,0.57667,0.47811,0.18325,1.01066,3.77569,0.00153,0.25568,0.0163,0,0.0011585,0.0011585,0.0011585
87,676.463,0.57237,0.75097,0.00095,0.15744,0.01108,3.63841,0.99666,0.99455,0.995,0.85259,0.48477,0.49,0.3746,0.18316,0.6663,3.9964,0.00122,0.18417,0.01096,0,0.0011486,0.0011486,0.0011486
88,684.171,0.53566,0.77237,0.00094,0.14984,0.01033,3.79604,0.99889,0.99667,0.995,0.81046,0.53093,0.5433,0.41242,0.20003,0.83748,3.67244,0.0014,0.21484,0.01341,0,0.0011387,0.0011387,0.0011387
89,691.878,0.53546,0.67249,0.00094,0.14514,0.01031,3.54341,0.99185,1,0.99493,0.81395,0.61294,0.61333,0.54344,0.23895,0.80887,3.4838,0.0015,0.23046,0.01292,0,0.0011288,0.0011288,0.0011288
90,699.692,0.53325,0.63541,0.00095,0.15022,0.01036,3.32028,0.98128,0.98333,0.99427,0.81103,0.65899,0.66,0.58491,0.2483,0.831,3.33098,0.00133,0.23596,0.01298,0,0.0011189,0.0011189,0.0011189
91,707.394,0.52008,0.63302,0.00096,0.14808,0.01013,3.44364,0.99664,0.98949,0.99457,0.88585,0.63236,0.63,0.54325,0.24634,0.55924,3.28639,0.00154,0.18588,0.00898,0,0.001109,0.001109,0.001109
92,715.084,0.5225,0.63019,0.00101,0.15034,0.01,3.33967,0.98022,0.99113,0.99308,0.82638,0.7543,0.76667,0.7041,0.2841,0.76264,2.88111,0.00165,0.23463,0.01206,0,0.0010991,0.0010991,0.0010991
93,722.84,0.54592,0.61636,0.00113,0.15599,0.01065,3.30426,0.99532,0.99667,0.99497,0.89293,0.76672,0.78,0.72253,0.2975,0.54288,2.8394,0.0017,0.16168,0.00879,0,0.0010892,0.0010892,0.0010892
94,730.648,0.57338,0.60092,0.00097,0.16657,0.01096,3.28333,0.99668,0.99948,0.99493,0.83189,0.78732,0.78974,0.7692,0.34495,0.74544,2.6393,0.00144,0.19416,0.01203,0,0.0010793,0.0010793,0.0010793
95,738.36,0.62069,0.62362,0.00119,0.17539,0.01193,3.37822,0.99667,0.99666,0.99497,0.81853,0.95365,0.96013,0.9615,0.40865,0.86418,2.40994,0.00196,0.21685,0.01321,0,0.0010694,0.0010694,0.0010694
96,746.108,0.61249,0.63783,0.00102,0.17214,0.01189,3.53641,0.99383,1,0.99493,0.74185,0.89649,0.89493,0.89074,0.37489,1.05749,2.49199,0.00203,0.27233,0.01725,0,0.0010595,0.0010595,0.0010595
97,753.791,0.66664,0.61603,0.00101,0.17842,0.01274,3.45309,0.99552,0.98667,0.99493,0.78719,0.91085,0.9,0.91739,0.44568,0.89742,2.2185,0.00209,0.24606,0.01417,0,0.0010496,0.0010496,0.0010496
98,761.502,0.60877,0.55879,0.00097,0.16865,0.01168,3.04174,0.99537,0.99333,0.99493,0.81154,0.89036,0.89667,0.88311,0.35449,0.86659,2.57017,0.00188,0.22421,0.01392,0,0.0010397,0.0010397,0.0010397
99,769.282,0.59168,0.55868,0.00094,0.16257,0.01145,3.04713,0.99337,0.99874,0.99493,0.80577,0.90695,0.90974,0.88793,0.36195,0.85927,2.49248,0.00148,0.22579,0.01377,0,0.0010298,0.0010298,0.0010298
100,777.041,0.58117,0.53789,0.00093,0.15647,0.01139,3.23211,0.98991,0.98066,0.99454,0.83307,0.89261,0.88658,0.91599,0.39564,0.7685,2.53741,0.00173,0.289,0.01191,0,0.0010199,0.0010199,0.0010199
101,784.799,0.58339,0.48878,0.00096,0.15742,0.01146,2.90469,0.99318,0.96667,0.99396,0.789,0.91492,0.89333,0.94044,0.42225,0.92223,2.43376,0.00158,0.36418,0.01478,0,0.00101,0.00101,0.00101
102,792.516,0.55821,0.45498,0.0009,0.15304,0.01093,2.67838,0.96433,0.99,0.99329,0.84779,0.89373,0.9251,0.93866,0.37982,0.69726,2.56441,0.00176,0.27057,0.01121,0,0.0010001,0.0010001,0.0010001
103,800.202,0.56958,0.42929,0.00093,0.16168,0.01095,2.58978,0.9584,0.99667,0.9934,0.88799,0.86546,0.90055,0.89198,0.34199,0.57122,2.63451,0.00179,0.22374,0.00898,0,0.0009902,0.0009902,0.0009902
104,807.844,0.58655,0.41365,0.00088,0.15591,0.01134,2.39184,0.96742,0.98985,0.99384,0.85064,0.82383,0.84667,0.85391,0.333,0.68522,2.70807,0.00185,0.29752,0.01149,0,0.0009803,0.0009803,0.0009803
105,815.535,0.56529,0.41715,0.00102,0.16109,0.01095,2.56052,0.96682,0.97117,0.99197,0.85124,0.80603,0.81,0.80476,0.27172,0.65219,2.93748,0.00207,0.32782,0.01066,0,0.0009704,0.0009704,0.0009704
106,823.241,0.54751,0.40073,0.00088,0.15311,0.01054,2.3529,0.94413,0.95759,0.98952,0.8611,0.86761,0.84667,0.88632,0.38256,0.64299,2.58002,0.00171,0.33564,0.01069,0,0.0009605,0.0009605,0.0009605
107,831.004,0.53327,0.35594,0.00092,0.14979,0.01018,2.15716,0.95268,0.97667,0.99055,0.883,0.8493,0.87333,0.88247,0.3782,0.56088,2.605,0.00145,0.28914,0.00914,0,0.0009506,0.0009506,0.0009506
108,838.815,0.54323,0.36511,0.001,0.15268,0.01052,2.2586,0.97136,0.90441,0.98256,0.85452,0.82664,0.82333,0.86244,0.3418,0.6399,2.71311,0.00193,0.4491,0.01042,0,0.0009407,0.0009407,0.0009407
109,846.502,0.56075,0.34192,0.00098,0.15338,0.0108,1.9312,0.9594,0.94524,0.98947,0.8878,0.82252,0.86511,0.84463,0.32134,0.53552,2.76972,0.00176,0.28576,0.00873,0,0.0009308,0.0009308,0.0009308
110,854.161,0.59534,0.31886,0.00093,0.16065,0.01154,1.82379,0.945,0.97356,0.98875,0.86161,0.85135,0.8782,0.88624,0.35459,0.63115,2.67678,0.00203,0.37414,0.00996,0,0.0009209,0.0009209,0.0009209
