epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,1457.42,0.89422,0.59651,1.04523,0.98197,0.921,0.95284,0.80262,0.6406,0.37195,0.92142,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,1475.73,0.88053,0.59357,1.04304,0.98358,0.923,0.94993,0.79774,0.65957,0.36734,0.91698,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,1494.05,0.88139,0.58586,1.04542,0.98752,0.92,0.94969,0.80959,0.61841,0.36028,0.91737,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,1512.38,0.88583,0.59226,1.0481,0.98717,0.92,0.95253,0.81035,0.63487,0.36123,0.91227,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,1530.64,0.87196,0.57941,1.03492,0.98453,0.924,0.95058,0.80078,0.65966,0.36558,0.90985,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,1549.04,0.87808,0.59202,1.03898,0.98193,0.92372,0.95248,0.80914,0.64759,0.36589,0.91189,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,1567.39,0.86475,0.58573,1.03272,0.9888,0.923,0.9551,0.81185,0.64374,0.3633,0.91198,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,1585.73,0.86289,0.57614,1.03205,0.99144,0.92617,0.95643,0.79786,0.69892,0.36633,0.91773,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,1603.97,0.85689,0.57282,1.03015,0.99036,0.92445,0.95851,0.8262,0.59323,0.34646,0.89816,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,1622.4,0.85852,0.56429,1.03297,0.96599,0.8805,0.93355,0.79674,0.66267,0.43897,0.93012,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
