epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,370.153,0.39797,2.1984,0.22585,0.27516,0.91004,0.99657,1,0.995,0.9715,0.91657,0.91973,0.88863,0.4239,0.26597,2.19573,0.01248,0.17358,0.79047,0.0006932,0.0006932,0.0006932
68,375.605,0.38611,2.12406,0.23383,0.26784,0.90088,0.99623,1,0.995,0.97125,0.91627,0.91973,0.88381,0.41731,0.26453,2.14478,0.01133,0.17877,0.78926,0.0006734,0.0006734,0.0006734
69,381.031,0.39278,2.12442,0.22007,0.27554,0.90486,0.99647,1,0.995,0.97328,0.92982,0.93311,0.90584,0.44443,0.26063,2.06799,0.01563,0.17306,0.78892,0.0006536,0.0006536,0.0006536
70,386.471,0.37438,2.14188,0.22437,0.26716,0.8986,0.99662,1,0.99497,0.96938,0.92659,0.92977,0.89213,0.42892,0.26982,2.06382,0.01512,0.17993,0.79147,0.0006338,0.0006338,0.0006338
71,391.903,0.37896,2.12612,0.233,0.27713,0.89511,0.99875,1,0.995,0.96879,0.93855,0.9398,0.90348,0.41935,0.26087,2.05678,0.01191,0.17478,0.79077,0.000614,0.000614,0.000614
72,397.381,0.379,2.09302,0.24015,0.27122,0.90496,0.98997,1,0.995,0.97152,0.94026,0.94983,0.9262,0.42298,0.25503,2.11857,0.01185,0.17589,0.78661,0.0005942,0.0005942,0.0005942
73,402.852,0.37266,2.10841,0.22597,0.26276,0.89683,0.99674,1,0.995,0.96508,0.93667,0.9398,0.90872,0.40099,0.26648,2.08015,0.01907,0.17489,0.79593,0.0005744,0.0005744,0.0005744
74,408.226,0.37084,2.02694,0.2258,0.26643,0.89808,0.99705,1,0.995,0.97167,0.91028,0.91304,0.87068,0.4214,0.26145,2.12119,0.0147,0.17824,0.78736,0.0005546,0.0005546,0.0005546
75,413.664,0.36814,1.99643,0.23081,0.26835,0.89868,0.99006,1,0.9949,0.97052,0.90727,0.91639,0.87923,0.47112,0.25194,1.92941,0.01311,0.16714,0.78549,0.0005348,0.0005348,0.0005348
76,419.091,0.36231,2.03572,0.23358,0.25626,0.89846,0.99646,1,0.995,0.96798,0.9299,0.93311,0.91656,0.47616,0.25497,1.93235,0.0206,0.17303,0.79025,0.000515,0.000515,0.000515
77,424.576,0.35678,1.97123,0.22279,0.25517,0.88698,0.99677,1,0.995,0.97303,0.92337,0.92642,0.90444,0.46953,0.25118,1.9546,0.01922,0.16308,0.78733,0.0004952,0.0004952,0.0004952
78,430.002,0.36385,1.98415,0.22351,0.2579,0.89384,0.99637,1,0.995,0.97532,0.92848,0.92977,0.91335,0.48636,0.2467,1.89582,0.01634,0.1651,0.7813,0.0004754,0.0004754,0.0004754
