epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2268.05,0.43355,0.20651,0.88437,0.99896,1,0.995,0.96035,0.32366,0.19372,0.82371,0.0003962,0.0003962,0.0003962
83,2295.59,0.44286,0.20618,0.89361,0.99896,0.999,0.995,0.95354,0.34321,0.19373,0.82506,0.0003764,0.0003764,0.0003764
84,2323.11,0.43061,0.20247,0.89133,0.99895,1,0.995,0.96476,0.30797,0.18282,0.81741,0.0003566,0.0003566,0.0003566
85,2351.02,0.43075,0.20299,0.89094,0.99992,1,0.995,0.9589,0.32933,0.19583,0.82586,0.0003368,0.0003368,0.0003368
86,2378.57,0.422,0.20056,0.88523,0.99994,1,0.995,0.96213,0.31897,0.18852,0.82019,0.000317,0.000317,0.000317
87,2406.11,0.42107,0.19837,0.88382,0.99993,1,0.995,0.96261,0.30789,0.18313,0.81584,0.0002972,0.0002972,0.0002972
88,2433.66,0.41888,0.19742,0.88049,0.99989,1,0.995,0.95781,0.32918,0.18547,0.82,0.0002774,0.0002774,0.0002774
89,2461.17,0.41557,0.19586,0.87715,1,0.99899,0.995,0.96563,0.30553,0.18147,0.81566,0.0002576,0.0002576,0.0002576
90,2489.11,0.41073,0.19321,0.87812,0.99991,1,0.995,0.96672,0.29934,0.18371,0.81584,0.0002378,0.0002378,0.0002378
91,2517.67,0.3993,0.19075,0.87001,0.99973,1,0.995,0.97331,0.29056,0.18083,0.81166,0.000218,0.000218,0.000218
92,2545.66,0.40782,0.19083,0.87938,0.99893,1,0.995,0.97338,0.28019,0.17704,0.81028,0.0001982,0.0001982,0.0001982
93,2573.7,0.40053,0.19007,0.86934,0.99889,1,0.995,0.97113,0.28703,0.17674,0.8102,0.0001784,0.0001784,0.0001784
94,2601.31,0.39848,0.18731,0.87263,0.999,0.99999,0.995,0.97367,0.28281,0.17745,0.80946,0.0001586,0.0001586,0.0001586
95,2629.29,0.3974,0.18798,0.87153,0.99892,1,0.995,0.9686,0.29409,0.17766,0.81038,0.0001388,0.0001388,0.0001388
96,2656.81,0.38981,0.18612,0.86857,0.999,0.99982,0.995,0.97281,0.2824,0.17695,0.80838,0.000119,0.000119,0.000119
97,2684.3,0.38453,0.18313,0.86692,0.99985,0.999,0.995,0.96989,0.29365,0.1799,0.8092,9.92e-05,9.92e-05,9.92e-05
98,2711.82,0.38062,0.18205,0.86299,1,0.99989,0.995,0.9737,0.28024,0.17586,0.80711,7.94e-05,7.94e-05,7.94e-05
99,2739.78,0.38701,0.18472,0.86899,1,0.99995,0.995,0.97467,0.28184,0.17432,0.80706,5.96e-05,5.96e-05,5.96e-05
100,2767.76,0.38181,0.1805,0.86504,1,0.99995,0.995,0.97648,0.27709,0.17357,0.80604,3.98e-05,3.98e-05,3.98e-05
